Accession Number,Temp ID,Display Title,Display Artist,Creation Date,Media & Support,Credit Line,Current Location,Specific Location,Department,Council District
1990.001.04,,Points of View,James Surls,1991,"Steel, Wood (Pine)",,"301 Milam Street Houston, TX 77002",Market Square Park,PARD,I
2012.043.01,,Gagarin,Alexsey Leonov,2011,Bronze,A gift to the City of Houston by the International Charity Public Fund Dialogue of Cultures - United World in Moscow (Ruslan Bayramov),"2999 South Wayside Dr. Houston, TX  77023",HPARD Headquarters,PARD,I
2012.043.02,,Astronaut John Glenn,Randy Twaddle,2012,,,"2999 South Wayside Dr. Houston, TX  77023",HPARD Headquarters,PARD,I
,0.086,World War I Monument,,c. 1918-1920,Bronze on Granite,,"1000 Bagby St. Houston, TX 77002",Sam Houston Park ,PARD,I
,0.128,MacGregor Monument,,,Limestone,,"5225 Calhoun Rd. Houston, TX 77021",MacGregor Park,PARD,D
,0.133,Kugel Ball Fountain,Red Hogan Enterprises,,Granite,,"6001 Fannin St. Houston, TX 77030","Hermann Park, Playground",PARD,D
,0.135,Columbia Memorial,,2003,Bronze on Granite Base,,"400 Rusk St. Houston, TX 77002",Tranquillity Park,PARD,I
,0.136,Alexander Hodge Memorial,,1908,Stone,Erected in 1908 by Lady Washington Chapter D.A.R. in Memory of Alexander Hodge,"1000 Bagby St. Houston, TX 77002",Sam Houston Park ,PARD,I
,0.201,Vincente Roca Fuerte,Qual Amadeus Qualacio Collmann,c. 2004,Bronze on Granite Pedestal,,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,0.203,Dr. Jose P. Rizal,Lena Toritch,2006,Bronze,,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,0.207,Japanese Lanterns,,,Granite,Given to the City of Hosuton by the 1964 Japanese Economic Mission,"6001 Fannin St. Houston, TX 77030","Hermann Park, Japanese Gardens",PARD,D
,0.214,untitled (totems),,,Painted Wood,,"110 Sabine St. Houston, TX 77007",Fonde' Recreation Center,PARD,H
,0.226,Hyde Park Fountain,,c. 1945,Concrete,,"1400 Hyde Park Blvd. Houston, TX 77006",Lamar Park,PARD,D
,0.227,Houston Skyline - Gulf Oil,Jim Rabbey,c. 1961,Oil on Canvas,,,,PARD,I
,1905.001,Dick Dowling,Frank A. Teich,1905,White Carrara marble statue on Texas gray granite base,"The monument was commissioned by the Dick Dowing Monument Association, a committee comprising members of the Dick Dowling Camp, United Confederate Veterans; the Ancient order of Hibernians; and the Emmet Council, a Catholic organization.  Each group represented an important facet of Dick Dowling's life.  Among those who participated in fund raising for the monument were George Hermann; John Henry Kirby; John T. Browne, Former Mayor of Houston; Adele Looscan; and William P. Hobby.",Hermann Park : N. MacGregor Dr. at N. MacGregor Way,,PARD,D
,1915.001,Charlotte Allen Fountain,,1912,Marble,,"1701 Elgin St. Houston, TX 77004",Baldwin Park,PARD,I
,1925.001,Sam Houston Monument,Enrico Filberto Cerracchio,1924,Bronze on Granite Arched Base,,"6001 Fannin St. Houston, TX 77030","Hermann Park, Hermann Dr. Circle",PARD,D
,1927.002,Peggy,John Gutzon Borglum,1927,Bronze on Granite,,"5225 Calhoun Rd. Houston, TX 77021",MacGregor Park,PARD,D
,1930.001,Sleepy Hollow Fountain,,1930,Concrete,,"3400 Sleepy Hollow Ct. Houston, TX 77019",Sleepy Hollow Park,PARD,G
,1936.006,Pioneer Memorial,Frank A. Teich,1936,Granite,"ERECTED BY THE SAN JACINTO CENTENNIAL ASSOCIATION.  DEDICATED AUGUST 30, 1936; THE ONE HUNDREDTH ANNIVERSARY OF THE FOUNDING OF THE CITY OF HOUSTON
","6001 Fannin St. Houston, TX 77030","Hermann Park, Reflection Pond",PARD,D
,1950.001,Spirit of the Confederacy,Louis Amateis,1908,Bronze on Granite Base,Erected by the Robert E. Lee Chapter N. 186 U.D.C. January 1908,"1000 Bagby St. Houston, TX 77002",Sam Houston Park ,PARD,I
,1964.001,Lillian Schnitzer Fountain Statue,John Warrington Wood,1875,Marble on Concrete Base,,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,1971.001,Dawn,Helen Journeay,Early 20th Century,Bronze on Brick Pedestal,"Donated by Mrs. Mary Helen Vining, 1971.","6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,1972.001,Scanlan Fountain,J. L. Mott Iron Works,1938,Painted Cast Iron,Donated to the City of Houston by The Heritage Society,"1000 Bagby St. Houston, TX 77002",Sam Houston Park ,PARD,I
,1972.003,Atropos Key,Hannah Stewart,1972,Bronze,"Given to the City of Houston August 24, 1972 by Patricia S. Woodward","6001 Fannin St. Houston, TX 77030","Hermann Park, Miller Outdoor Theatre",PARD,D
,1977.002,Gus S. Wortham Memorial Fountain,William T. Cannady,1978,Bronze,,"18-3600 Allen Parkway Houston, TX 77002",Buffalo Bayou Park  ,PARD,H
,1977.003,Pueblo Bonito,Charles Ginnever,1977,Cor-Ten Steel,,"229 S. Heights Blvd. Houston, TX 77007",Knox Park,PARD,H
,1977.006,Armillary Sphere,Kenneth Lynch and Sons,1977,"Painted steel, bronze",Donated to the City of Houston by Elizabeth Bracewel,"1000 Bagby St. Houston, TX 77002",Sam Houston Park ,PARD,I
,1979.001,Lombard Lamp,,1869,Stone reliefs on metal,"Lamps such as this one have been a familiar sight in Hamburg, Germany since 1869, where they grace the Famous Lombard Bridge.  This Lombard Lamp is presented to the people of the City of Houston by the people of the Free and Hanseatic City of Hamburg so that it may forever brighten a bridge of friendship in human relations, trade and commerce.  March 1979","700 Heights Blvd. Houston, TX 77008",Heights Blvd. Park,PARD,H
,1979.003,Wortham Fountains,Charles Tapley,1979,,,"400 Rusk St. Houston, TX 77002",Tranquillity Park,PARD,I
,1979.004,Lunar Footprint,,1979,Bronze,,"400 Rusk St. Houston, TX 77002",Tranquillity Park,PARD,I
,1979.005,Untitled (Bronze Disks),,1979,Bronze,,"400 Rusk St. Houston, TX 77002",Tranquillity Park,PARD,I
,1979.006,Large Spindle Piece,Henry Moore,1974,Bronze on Concrete,,"18-3600 Allen Parkway Houston, TX 77002",Buffalo Bayou Park  ,PARD,H
,1979.008,Simon Bolivar,C. Talacca,1977,Bronze on Granite,,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,1980.001,One Step for Mankind,Naomi Savage,1980,Stainless Steel Photo etching,,"400 Rusk St. Houston, TX 77002",Tranquillity Park,PARD,I
,1980.002,Oliver Twist,Tracy Guthrie,1976,Bronze on Concrete,Donated to the City of Houston by the Theatre Under the Stars (TUTS),"6001 Fannin St. Houston, TX 77030","Hermann Park, Miller Outdoor Theatre",PARD,D
,1980.008,Vaquero,Luis Jimenez,1980,"acrylic urethane, fiberglass, steel armature",,"3725 Fulton St. Houston, TX 77009",Moody Park,PARD,H
,1981.002,African Elephant,Robert Fowler,1981,Cor-Ten Steel,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,PARD,D
,1981.005,George Hermann Fountain,,1963,Granite,,Hermann Park : N. MacGregor Drive at Fannin,,PARD,D
,1982.004,Japanese Stone Lantern,,c. 1982,Granite,,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,1983.001,Houston,Mac Whitney,1981,Painted Steel,Art in Public Places Program made possible by the National Endowment for the Arts and a Community Development Block Grant,"1030 Stude St. Houston, TX 77009",Stude Park,PARD,H
,1983.002,Silver Spike,,c. 1982,Marble,,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,1983.005,Jose de San Martin,Pedro Buigues,1983,Bronze on Granite Pedestal,"Given to the city of Houston by the Argentine Consul and the people of Argentina, April 1983","6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,1984.001,Three Quarter Time,Ben Woitena,1975,Painted Steel,,"6501 Memorial Dr. Houston, TX 77007",Memorial Park,PARD,G
,1984.002,Jose Marti,Tony Lopez,1981,Bronze on Granite Pedestal,,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,1984.003,Portable Trojan Bear,Jim Love,1974,"Wood, Steel, Brass",,"6001 Fannin St. Houston, TX 77030","Hermann Park, Golf Course Dr.",PARD,D
,1985.002,Benito Juarez,Julian Martinez,1985,Bronze on Granite Pedestal,Donated to the City of Houston by PEMEX on behalf of the Mexican people,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,C
,1987.001,Alvar Nunez Cabeza de Vaca,Pilar Cortella de Rubin,1986,Bronze on Granite Pedestal,,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,C
,1987.005,Challenger Memorial,,1987,Bronze on Granite Pedestal,,"400 Rusk St. Houston, TX 77002",Tranquillity Park,PARD,I
,1988.005,George H. Hermann - Statue,Lonnie Edwards,1981,Bronze,,Hermann Park : N. MacGregor Drive at Fannin,,PARD,D
,1990.006,Passage Inacheve,Linea Glatt; Francis Merritt Thompson,1990,"Steel, Photo Panels",,"18-3600 Allen Parkway Houston, TX 77002",Buffalo Bayou Park  ,PARD,I
,1991.012,Neuhaus Fountain Coyotes,Gwynn Murrill,1992,Bronze,DONATED TO THE HOUSTON PARKS BOARD FOR BEUTIFICATION OF A CITY PARK IN MEMORY OF KATE RICE NEUHAUS 1889-1971 HUGO VICTOR NEUHAUS 1882-1947 THROUGH A BEQUEST OF THEIR SON HUGO VICTOR NEUHAUS JR. 1915-1987,"1000 Bagby St. Houston, TX 77002",Sam Houston Park ,PARD,I
,1992.001,Christopher Columbus,Joe Incrapera,1992,Bronze on Concrete,"Donated to the city of Houston by the Federation of Italian American Organizations of Greater Houston, Inc.","4800  Montrose Blvd. Houston, TX 77005",Bell Park,PARD,C
,1992.002,Birth of Light,Leonardo Nierman,1991,wool,Donated to the City of Houston in 1992 by the Government of Mexico at the consular ball,"500 McKinney St. Houston, TX 77002",Central Library,PARD,I
,1993.002,Cancer...there is hope,Victor Salmones,1990,Bronze,,"6001 Fannin St. Houston, TX 77030",Hermann Park,PARD,D
,1993.003,Bernardo O'Higgins,Famae / Arcomet,1992,Bronze on Granite Pedestal,"A gift from the Republic of Chile to the City of Houston, consisting of a bust of Captain General Bernardo O'Higgins, Founding Father of the Chilean Nation.","6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,1994.002,John B. Connally,Sharon Connally Amman,1995,Bronze,Donated to the City of Houston by the Harris County Heritage Society,"1000 Bagby St. Houston, TX 77002",Sam Houston Park ,PARD,I
,1995.009,Wilkenfeld Bench ,Tommy Schiltzberger,1995,Granite,,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,1997.001,Bienvenidos A Nuestra Mesa,Cathy Boswell,1997,"Steel, wood, ceramic tile",,"6000 Chimney Rock Rd. Houston, TX 77081",Burnett Bayland Park,PARD,F
,1998.005,U.S.S. Houston Monument,Jeff Ryan,1998,"Granite, bronze, and USS Houston brass ship's bell","Built under the sponsorship of USS Houston (CA-30) Foundation, a project of the Texas Commandery of the Naval Order of the United States, Captain Carl V. Ragsdale, USN (Ret.) Chairman.","1000 Bagby St. Houston, TX 77002",Sam Houston Park ,PARD,I
,1999.001,Moonscape Bench,Jesús Bautista Moroles,1999,Granite on Granite Base,,"6001 Fannin St. Houston, TX 77030","Hermann Park, McGovern Lake",PARD,D
,1999.003,Winter,,1999,Sandstone on Concrete,,"3600 Locke Lane Houston, TX 77027",River Oaks Park,PARD,G
,1999.004,Field Marshall Ramon Castilla Y Marquesado,,1991,Bronze,,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,1999.007,World War II Memorial,DCW Architects,1999,Granite,,"700 Heights Blvd. Houston, TX 77008",Heights Blvd. Park,PARD,H
,2002.003,Robert Burns,F. Vagra,2002,Bronze on Granite Pedestal,Heather and Thistle Society of Houston,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,2003.004,Mahatma Gandhi,Ram V. Sutar,2003,Bronze on Granite Base,,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,2003.006,Shady Grove,Tim Bailey,c. 2003,Cor-Ten Steel,,"18-3600 Allen Parkway Houston, TX 77002",Buffalo Bayou Park - Eleanor ,PARD,I
,2007.003,"Dr. Martin Luther King, Jr. Monument",Ed Dwight,2007,Bronze on Granite-cladded base,,"6100 Hermann Park Dr.  Houston, Texas, 77030","Hermann Park, Centennial Gardens",PARD,D
,2010.012,Standing Vase with Five Flowers,James Surls,2005,Bronze and stainless steel,,,,PARD,I
,2011.003,Tolerance,Jaume Plensa,2011,Stainless Steel,Donated to the City of Houston by the Greater Houston Community Foundation,,,PARD,C
,2011.005,Absolute Victory,Rosalinda R. Toro,2011,"Smalti glass tile, ceramic tile, and cast bronze",,"1986 Tidwell Road Houston, TX 77093",Veteran's Memorial Park,PARD,H
,1989.002-a-b,Pillot Dogs,Dellray Bronze Inc.,1989,Bronze,Given to the Heritage Society by the River Oaks Garden Club,"1000 Bagby, Houston, TX 77002 ",Sam Houston Park - Pillot House,PARD,I
,1991.004-a-d,Gargoyles,Douglas Hollis; Richard Turner,,Concrete,,"301 Milam Street Houston, TX 77002",Market Square Park,PARD,I
,2010.004.1,Untitled,Ketria Bastian Scott,2010,Silicon bronze,Commissioned by the Houston Downtown Management District through the Houston Arts Alliance with funding from the Lauaren Catuzzi Grandcolas Foundation,"301 Milam Street Houston, TX 77002",Market Square Park - Lauren's Garden,PARD,I
,2010.004.2,Market Square Park Artwalk and Dogrun Wall Reveal,Richard Turner,2010,Salvaged masonry fragments,Commissioned for the City of Houston by the Houston Downtown Management District,"301 Milam Street Houston, TX 77002",Market Square Park - West side of ark,PARD,I
,2010.004.3a,Double Skylines,Paul Hester,2010,Powder-coated plate steel,,"301 Milam Street Houston, TX 77002",Market Square Park - Southwest Corner,PARD,I
,2010.004.3b,Doing Time in Houston,Paul Hester,2010,Porcelain  Enamel on steel,,"301 Milam Street Houston, TX 77002",Market Square Park - Northeast Corner,PARD,I
2013.013,,Auto Totem,Devon Christopher Moore,2013,"Steel, powder coated steel, powder coated aluminum ",,,,PMD,H
2013.014,,Time Machine #1,Ketria Bastian Scott,2013,Bronze,,,,PMD,H
2013.015,,Lightly Metered (Wind Swept Meters),Anthony Thompson Shumate,2013,Galvanized steel chain,,,,PMD,H
2013.016,,,David Medina,2013,Bronze,,,,PMD,H
2004.001,,KGA Art Bench,Kelly Gale Amen,2004,Bronze,,"611 Walker St. Houston, TX 77002",Bob Lanier Public Works Building - Lobby,PWE,I
2009.007,,Open Channel Flow,Matthew Geller,2009,"Steel, stainless steel, paint",,"105 Sabine St. Houston, Texas 77007",Sabine Street Water Pump,PWE,H
,0.012,Old San Felipe Rd Marker,,Unknown,Granite,,"1101 W. Dallas St. Houston, TX 77019",Founder's Memorial Cemetary,PWE,I
,1980.007,Guitar Solo,Carroll Harris Simms,1980,Bronze,"Donated the City of Houston by Mr. and Mrs. S. M. McAshan, Jr.","611 Walker St. Houston, TX 77002",Bob Lanier Public Works Building - Lobby,PWE,I
,1997,Bikeway Bridges,Dan Havel; Kate Petley; George Sacaris,1997,"Concrete, Galvanized Steel",,White Oak Bayou Bike Trail : T. C. Jester and 11th St.,,PWE,A
,2000.01,Bike Racks,Steve Murphy,2000,Stainless Steel,,Downtown Sidewalks,,PWE,I
,1998.004.01-09,Aqua Profunda Est Quieta,MANUAL (Ed Hill and Suzanne Bloom),1998,"Video, aluminum, digital Lambda prints, stone pavement inlay",,"10500 Bellaire Blvd. Houston, TX 77072",Wastewater Operations Testing Laboratory,PWE,F
,2001.002-a-b,Waterworks,Danny Harries,2001,Acrylic on Canvas,,"4200 Leeland St. Houston, 77023",Utilities Customer Service,PWE,I
,2011.004.01,Fishing at Allen's Landing on Buffalo Bayou,Geoff Winningham,2011,carbon pigment ink print with Dibond brand Laminate on brushed aluminum,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.02,Buffalo Bayou Near Sage Road,Geoff Winningham,2011,carbon pigment ink and Dibond brand laminate on brushed aluminum,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.03,Buffalo Bayou in Terry Hershey Park,Geoff Winningham,2011,carbon pigment ink and Dibond brand laminate on brushed aluminum,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.04,Green Port,Jesse Sifuentes,2011,water based paint on Canvas,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.05,The View from the East End,Jesse Sifuentes,2011,water based paint on Canvas,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.06,Torrent,Dan Havel and Dean Ruck,2011,"aluminum, brass, and copper on plywood panels",,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.07,Information Highway,GONZO247,2011,Spray paint on Canvas,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.08,Sunset in the City,GONZO247,2011,Spray paint on Canvas,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.09,Sky Light,Serena Lin Bush,2011,Security cameras on LED and LCD screens,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.10,Remnant Reverie,Kaneem Smith,2011,"Burlap, jute, acrylic paint, and found objects",,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.11,Sense of Place,Mary Margaret Hansen,2011,Wall Paper,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.12,Overheard,Mary Margaret Hansen,2011,Acrylic and wall paper,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.13,GREEN,Mary Margaret Hansen,2011,Locally reclaimed and salvaged wood,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.14,Fewer problems down the road if you solve the issues today.,Mary Margaret Hansen,2011,colored acrylic,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.15,The code is a powerful tool for building a great city.,Mary Margaret Hansen,2011,Colored acrylic,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.16,"Code spoken here with skill, nuance and great authority.",Mary Margaret Hansen,2011,colored acrylic,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.17,Tiny Text: Recycled Coffe Can Words,Mary Margaret Hansen,2011,Repurposed coffee cans,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.18,Tiny Text: Conversations and Observations,Mary Margaret Hansen,2011,No VOC paint on drywall,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.19,"Houston: Recycle, Renew",Mary Margaret Hansen,2011,No VOC paint on drywall,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.20,CLOUD CODE,METALAB,2011,"Stainless steel, copper wire, electronic components, glass sheet",,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.21,Bayou,Agnes Welsh Eyster,2010,etched galvanized steel,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,2011.004.22,Untitled,Dick Wray,2010,Powder-coated steel,,"1002 Washington Ave. Houston, TX 77002",Houston Permitting Center,PWE,H
,0.127,Untitled - Orangutan,Rabby,,,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,0.129,Wanyama Photographs,,,Photograph,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,0.13,Saturday Night in the Jungle,Dick Rembrandt,,Acrylic on Wall,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,1907.001,Brownie,Louis Amateis,1905,Bronze,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,1968.001,Japanese Garden Lantern,,Unknown,Stone,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,1972.002,Gorilla,Robert Fowler,1973-1974,Cor-Ten Steel,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,1975.004,Leapfrog,Victor Salmones,,Bronze,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,1975.009,Hooded Cobra,Herring Coe,,Bronze,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,1975.01,Spoonbills,Robert Fowler,1966,Cor-Ten Steel,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,1976.003,Untitled - Elephant Head Trio,,1976,Steel,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,1988.002,Rolling Bear Cubs,William M. McVey,1937,Limestone,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,1994.006,"Great Adventure (Dolly's Ride), The",Ann Armstrong,1994,Bronze,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,1999.002,Evelyn's Friends,Andrea Wilkenson,1999,Bronze,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,1999.006,Barnyard Watch Dogs,Burt Brent,1999,Bronze,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,2000.001,Texas Longhorn,Billie Evans,2000,Bronze,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,2000.009,The Lion Cubs,,,Bronze,Zoo Docent Council,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
,1947.001.01-04,Herring Coe Bas Reliefs,Herring Coe,1947,Limestone,,"6200 Hermann Park Drive Houston, TX 77030",Houston Zoological Gardens,Zoo,D
